title,metaphoneA,metaphoneB,ngramsA,ngramsB
anchalik jagran,ANXLKJKRN,ANKLKJKRN,"[('A', 'N', 'X'), ('N', 'X', 'L'), ('X', 'L', 'K'), ('L', 'K', 'J'), ('K', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N')]","[('A', 'N', 'K'), ('N', 'K', 'L'), ('K', 'L', 'K'), ('L', 'K', 'J'), ('K', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N')]"
shrutlekh jagran,XRTLKJKRN,,"[('X', 'R', 'T'), ('R', 'T', 'L'), ('T', 'L', 'K'), ('L', 'K', 'J'), ('K', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N')]",[]
vidisha jagran,FTXJKRN,,"[('F', 'T', 'X'), ('T', 'X', 'J'), ('X', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N')]",[]
sanskruthika jagran,SNSKR0KJKRN,SNSKRTKJKRN,"[('S', 'N', 'S'), ('N', 'S', 'K'), ('S', 'K', 'R'), ('K', 'R', '0'), ('R', '0', 'K'), ('0', 'K', 'J'), ('K', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N')]","[('S', 'N', 'S'), ('N', 'S', 'K'), ('S', 'K', 'R'), ('K', 'R', 'T'), ('R', 'T', 'K'), ('T', 'K', 'J'), ('K', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N')]"
aagaj jagran,AKJJKRN,,"[('A', 'K', 'J'), ('K', 'J', 'J'), ('J', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N')]",[]
adhyapak jagran,ATPKJKRN,,"[('A', 'T', 'P'), ('T', 'P', 'K'), ('P', 'K', 'J'), ('K', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N')]",[]
punjabi jagran,PNJPJKRN,,"[('P', 'N', 'J'), ('N', 'J', 'P'), ('J', 'P', 'J'), ('P', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N')]",[]
youth jagran,A0JKRN,ATJKRN,"[('A', '0', 'J'), ('0', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N')]","[('A', 'T', 'J'), ('T', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N')]"
ajmer jagran,AMRJKRN,,"[('A', 'M', 'R'), ('M', 'R', 'J'), ('R', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N')]",[]
jagran,JKRN,AKRN,"[('J', 'K', 'R'), ('K', 'R', 'N')]","[('A', 'K', 'R'), ('K', 'R', 'N')]"
vir bharat hadoti jagran,FRPRTTTJKRN,,"[('F', 'R', 'P'), ('R', 'P', 'R'), ('P', 'R', 'T'), ('R', 'T', 'T'), ('T', 'T', 'T'), ('T', 'T', 'J'), ('T', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N')]",[]
amarjagran samrat,AMRJKRNSMRT,,"[('A', 'M', 'R'), ('M', 'R', 'J'), ('R', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N'), ('R', 'N', 'S'), ('N', 'S', 'M'), ('S', 'M', 'R'), ('M', 'R', 'T')]",[]
adhimaik punjagran,ATMKPNJKRN,,"[('A', 'T', 'M'), ('T', 'M', 'K'), ('M', 'K', 'P'), ('K', 'P', 'N'), ('P', 'N', 'J'), ('N', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N')]",[]
chaitanya jagran,XTNJKRN,,"[('X', 'T', 'N'), ('T', 'N', 'J'), ('N', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N')]",[]
maruthar jagran,MR0RJKRN,MRTRJKRN,"[('M', 'R', '0'), ('R', '0', 'R'), ('0', 'R', 'J'), ('R', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N')]","[('M', 'R', 'T'), ('R', 'T', 'R'), ('T', 'R', 'J'), ('R', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N')]"
brahman jagran,PRMNJKRN,,"[('P', 'R', 'M'), ('R', 'M', 'N'), ('M', 'N', 'J'), ('N', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N')]",[]
punarjagran sandesh,PNRJKRNSNTX,,"[('P', 'N', 'R'), ('N', 'R', 'J'), ('R', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N'), ('R', 'N', 'S'), ('N', 'S', 'N'), ('S', 'N', 'T'), ('N', 'T', 'X')]",[]
jain jagran abhiyan,JNJKRNPN,ANJKRNPN,"[('J', 'N', 'J'), ('N', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N'), ('R', 'N', 'P'), ('N', 'P', 'N')]","[('A', 'N', 'J'), ('N', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N'), ('R', 'N', 'P'), ('N', 'P', 'N')]"
sai jagran,SJKRN,,"[('S', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N')]",[]
audichya jagran,ATXJKRN,ATKJKRN,"[('A', 'T', 'X'), ('T', 'X', 'J'), ('X', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N')]","[('A', 'T', 'K'), ('T', 'K', 'J'), ('K', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N')]"
jan jagran yogic sciences,JNJKRNJKSNSS,ANJKRNKKSNSS,"[('J', 'N', 'J'), ('N', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N'), ('R', 'N', 'J'), ('N', 'J', 'K'), ('J', 'K', 'S'), ('K', 'S', 'N'), ('S', 'N', 'S'), ('N', 'S', 'S')]","[('A', 'N', 'J'), ('N', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N'), ('R', 'N', 'K'), ('N', 'K', 'K'), ('K', 'K', 'S'), ('K', 'S', 'N'), ('S', 'N', 'S'), ('N', 'S', 'S')]"
jaiswal jain jagran,JSLJNJKRN,ASLJNJKRN,"[('J', 'S', 'L'), ('S', 'L', 'J'), ('L', 'J', 'N'), ('J', 'N', 'J'), ('N', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N')]","[('A', 'S', 'L'), ('S', 'L', 'J'), ('L', 'J', 'N'), ('J', 'N', 'J'), ('N', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N')]"
jyoti jagran,JTJKRN,ATJKRN,"[('J', 'T', 'J'), ('T', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N')]","[('A', 'T', 'J'), ('T', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N')]"
deepotsav jagran,TPTSFJKRN,,"[('T', 'P', 'T'), ('P', 'T', 'S'), ('T', 'S', 'F'), ('S', 'F', 'J'), ('F', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N')]",[]
abhyudaya jagran,APTJKRN,,"[('A', 'P', 'T'), ('P', 'T', 'J'), ('T', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N')]",[]
swadeep jagran,STPJKRN,XTPJKRN,"[('S', 'T', 'P'), ('T', 'P', 'J'), ('P', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N')]","[('X', 'T', 'P'), ('T', 'P', 'J'), ('P', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N')]"
aryavart jagran,ARFRTJKRN,,"[('A', 'R', 'F'), ('R', 'F', 'R'), ('F', 'R', 'T'), ('R', 'T', 'J'), ('T', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N')]",[]
navswar jagran,NFSRJKRN,,"[('N', 'F', 'S'), ('F', 'S', 'R'), ('S', 'R', 'J'), ('R', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N')]",[]
lakshya jagran,LKXJKRN,,"[('L', 'K', 'X'), ('K', 'X', 'J'), ('X', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N')]",[]
janta jagran shakti,JNTJKRNXKT,ANTJKRNXKT,"[('J', 'N', 'T'), ('N', 'T', 'J'), ('T', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N'), ('R', 'N', 'X'), ('N', 'X', 'K'), ('X', 'K', 'T')]","[('A', 'N', 'T'), ('N', 'T', 'J'), ('T', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N'), ('R', 'N', 'X'), ('N', 'X', 'K'), ('X', 'K', 'T')]"
jan shakti jagran,JNXKTJKRN,ANXKTJKRN,"[('J', 'N', 'X'), ('N', 'X', 'K'), ('X', 'K', 'T'), ('K', 'T', 'J'), ('T', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N')]","[('A', 'N', 'X'), ('N', 'X', 'K'), ('X', 'K', 'T'), ('K', 'T', 'J'), ('T', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N')]"
lodhi jagran,LTJKRN,,"[('L', 'T', 'J'), ('T', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N')]",[]
kranti jagran,KRNTJKRN,,"[('K', 'R', 'N'), ('R', 'N', 'T'), ('N', 'T', 'J'), ('T', 'J', 'K'), ('J', 'K', 'R'), ('K', 'R', 'N')]",[]
