title,metaphoneA,metaphoneB,ngramsA,ngramsB
the indian optician,0NTNPTSN,TNTNPTXN,"[('0', 'N', 'T'), ('N', 'T', 'N'), ('T', 'N', 'P'), ('N', 'P', 'T'), ('P', 'T', 'S'), ('T', 'S', 'N')]","[('T', 'N', 'T'), ('N', 'T', 'N'), ('T', 'N', 'P'), ('N', 'P', 'T'), ('P', 'T', 'X'), ('T', 'X', 'N')]"
indian journal of diplomacy,ANTNJRNLFTPLMS,,"[('A', 'N', 'T'), ('N', 'T', 'N'), ('T', 'N', 'J'), ('N', 'J', 'R'), ('J', 'R', 'N'), ('R', 'N', 'L'), ('N', 'L', 'F'), ('L', 'F', 'T'), ('F', 'T', 'P'), ('T', 'P', 'L'), ('P', 'L', 'M'), ('L', 'M', 'S')]",[]
this is india,0SSNT,TSSNT,"[('0', 'S', 'S'), ('S', 'S', 'N'), ('S', 'N', 'T')]","[('T', 'S', 'S'), ('S', 'S', 'N'), ('S', 'N', 'T')]"
stone and tile in india,STNNTTLNNT,,"[('S', 'T', 'N'), ('T', 'N', 'N'), ('N', 'N', 'T'), ('N', 'T', 'T'), ('T', 'T', 'L'), ('T', 'L', 'N'), ('L', 'N', 'N'), ('N', 'N', 'T')]",[]
indias new day,ANTSNT,,"[('A', 'N', 'T'), ('N', 'T', 'S'), ('T', 'S', 'N'), ('S', 'N', 'T')]",[]
perspective india,PRSPKTFNT,,"[('P', 'R', 'S'), ('R', 'S', 'P'), ('S', 'P', 'K'), ('P', 'K', 'T'), ('K', 'T', 'F'), ('T', 'F', 'N'), ('F', 'N', 'T')]",[]
wire & cable india,ARKPLNT,FRKPLNT,"[('A', 'R', 'K'), ('R', 'K', 'P'), ('K', 'P', 'L'), ('P', 'L', 'N'), ('L', 'N', 'T')]","[('F', 'R', 'K'), ('R', 'K', 'P'), ('K', 'P', 'L'), ('P', 'L', 'N'), ('L', 'N', 'T')]"
in touch india in truth in love,ANTXNTNTR0NLF,ANTKNTNTRTNLF,"[('A', 'N', 'T'), ('N', 'T', 'X'), ('T', 'X', 'N'), ('X', 'N', 'T'), ('N', 'T', 'N'), ('T', 'N', 'T'), ('N', 'T', 'R'), ('T', 'R', '0'), ('R', '0', 'N'), ('0', 'N', 'L'), ('N', 'L', 'F')]","[('A', 'N', 'T'), ('N', 'T', 'K'), ('T', 'K', 'N'), ('K', 'N', 'T'), ('N', 'T', 'N'), ('T', 'N', 'T'), ('N', 'T', 'R'), ('T', 'R', 'T'), ('R', 'T', 'N'), ('T', 'N', 'L'), ('N', 'L', 'F')]"
india choupal,ANTXPL,ANTKPL,"[('A', 'N', 'T'), ('N', 'T', 'X'), ('T', 'X', 'P'), ('X', 'P', 'L')]","[('A', 'N', 'T'), ('N', 'T', 'K'), ('T', 'K', 'P'), ('K', 'P', 'L')]"
india international centre diary,ANTNTRNXNLSNTRTR,,"[('A', 'N', 'T'), ('N', 'T', 'N'), ('T', 'N', 'T'), ('N', 'T', 'R'), ('T', 'R', 'N'), ('R', 'N', 'X'), ('N', 'X', 'N'), ('X', 'N', 'L'), ('N', 'L', 'S'), ('L', 'S', 'N'), ('S', 'N', 'T'), ('N', 'T', 'R'), ('T', 'R', 'T'), ('R', 'T', 'R')]",[]
indian teacher,ANTNTXR,ANTNTKR,"[('A', 'N', 'T'), ('N', 'T', 'N'), ('T', 'N', 'T'), ('N', 'T', 'X'), ('T', 'X', 'R')]","[('A', 'N', 'T'), ('N', 'T', 'N'), ('T', 'N', 'T'), ('N', 'T', 'K'), ('T', 'K', 'R')]"
pragati india,PRKTNT,,"[('P', 'R', 'K'), ('R', 'K', 'T'), ('K', 'T', 'N'), ('T', 'N', 'T')]",[]
indian bridge world,ANTNPRJRLT,,"[('A', 'N', 'T'), ('N', 'T', 'N'), ('T', 'N', 'P'), ('N', 'P', 'R'), ('P', 'R', 'J'), ('R', 'J', 'R'), ('J', 'R', 'L'), ('R', 'L', 'T')]",[]
the indians abroad,0NTNSPRT,TNTNSPRT,"[('0', 'N', 'T'), ('N', 'T', 'N'), ('T', 'N', 'S'), ('N', 'S', 'P'), ('S', 'P', 'R'), ('P', 'R', 'T')]","[('T', 'N', 'T'), ('N', 'T', 'N'), ('T', 'N', 'S'), ('N', 'S', 'P'), ('S', 'P', 'R'), ('P', 'R', 'T')]"
developing india mirror,TFLPNKNTMRR,,"[('T', 'F', 'L'), ('F', 'L', 'P'), ('L', 'P', 'N'), ('P', 'N', 'K'), ('N', 'K', 'N'), ('K', 'N', 'T'), ('N', 'T', 'M'), ('T', 'M', 'R'), ('M', 'R', 'R')]",[]
images india shop design,AMJSNTXPTSN,AMKSNTXPTSKN,"[('A', 'M', 'J'), ('M', 'J', 'S'), ('J', 'S', 'N'), ('S', 'N', 'T'), ('N', 'T', 'X'), ('T', 'X', 'P'), ('X', 'P', 'T'), ('P', 'T', 'S'), ('T', 'S', 'N')]","[('A', 'M', 'K'), ('M', 'K', 'S'), ('K', 'S', 'N'), ('S', 'N', 'T'), ('N', 'T', 'X'), ('T', 'X', 'P'), ('X', 'P', 'T'), ('P', 'T', 'S'), ('T', 'S', 'K'), ('S', 'K', 'N')]"
indian miller,ANTNMLR,,"[('A', 'N', 'T'), ('N', 'T', 'N'), ('T', 'N', 'M'), ('N', 'M', 'L'), ('M', 'L', 'R')]",[]
chess india,XSNT,,"[('X', 'S', 'N'), ('S', 'N', 'T')]",[]
the indian journal of hospital pharmacy,0NTNJRNLFSPTLFRMS,TNTNJRNLFSPTLFRMS,"[('0', 'N', 'T'), ('N', 'T', 'N'), ('T', 'N', 'J'), ('N', 'J', 'R'), ('J', 'R', 'N'), ('R', 'N', 'L'), ('N', 'L', 'F'), ('L', 'F', 'S'), ('F', 'S', 'P'), ('S', 'P', 'T'), ('P', 'T', 'L'), ('T', 'L', 'F'), ('L', 'F', 'R'), ('F', 'R', 'M'), ('R', 'M', 'S')]","[('T', 'N', 'T'), ('N', 'T', 'N'), ('T', 'N', 'J'), ('N', 'J', 'R'), ('J', 'R', 'N'), ('R', 'N', 'L'), ('N', 'L', 'F'), ('L', 'F', 'S'), ('F', 'S', 'P'), ('S', 'P', 'T'), ('P', 'T', 'L'), ('T', 'L', 'F'), ('L', 'F', 'R'), ('F', 'R', 'M'), ('R', 'M', 'S')]"
the nursing journal of india,0NRSNKJRNLFNT,TNRSNKJRNLFNT,"[('0', 'N', 'R'), ('N', 'R', 'S'), ('R', 'S', 'N'), ('S', 'N', 'K'), ('N', 'K', 'J'), ('K', 'J', 'R'), ('J', 'R', 'N'), ('R', 'N', 'L'), ('N', 'L', 'F'), ('L', 'F', 'N'), ('F', 'N', 'T')]","[('T', 'N', 'R'), ('N', 'R', 'S'), ('R', 'S', 'N'), ('S', 'N', 'K'), ('N', 'K', 'J'), ('K', 'J', 'R'), ('J', 'R', 'N'), ('R', 'N', 'L'), ('N', 'L', 'F'), ('L', 'F', 'N'), ('F', 'N', 'T')]"
discover india's northeast,TSKFRNTSNR0ST,TSKFRNTSNRTST,"[('T', 'S', 'K'), ('S', 'K', 'F'), ('K', 'F', 'R'), ('F', 'R', 'N'), ('R', 'N', 'T'), ('N', 'T', 'S'), ('T', 'S', 'N'), ('S', 'N', 'R'), ('N', 'R', '0'), ('R', '0', 'S'), ('0', 'S', 'T')]","[('T', 'S', 'K'), ('S', 'K', 'F'), ('K', 'F', 'R'), ('F', 'R', 'N'), ('R', 'N', 'T'), ('N', 'T', 'S'), ('T', 'S', 'N'), ('S', 'N', 'R'), ('N', 'R', 'T'), ('R', 'T', 'S'), ('T', 'S', 'T')]"
craft india,KRFTNT,,"[('K', 'R', 'F'), ('R', 'F', 'T'), ('F', 'T', 'N'), ('T', 'N', 'T')]",[]
indian radio amateur,ANTNRTMTR,,"[('A', 'N', 'T'), ('N', 'T', 'N'), ('T', 'N', 'R'), ('N', 'R', 'T'), ('R', 'T', 'M'), ('T', 'M', 'T'), ('M', 'T', 'R')]",[]
indian journal of engineering & materials sciences,ANTNJRNLFNJNRNKKMTRLSSNSS,ANTNJRNLFNKNRNKKMTRLSSNSS,"[('A', 'N', 'T'), ('N', 'T', 'N'), ('T', 'N', 'J'), ('N', 'J', 'R'), ('J', 'R', 'N'), ('R', 'N', 'L'), ('N', 'L', 'F'), ('L', 'F', 'N'), ('F', 'N', 'J'), ('N', 'J', 'N'), ('J', 'N', 'R'), ('N', 'R', 'N'), ('R', 'N', 'K'), ('N', 'K', 'K'), ('K', 'K', 'M'), ('K', 'M', 'T'), ('M', 'T', 'R'), ('T', 'R', 'L'), ('R', 'L', 'S'), ('L', 'S', 'S'), ('S', 'S', 'N'), ('S', 'N', 'S'), ('N', 'S', 'S')]","[('A', 'N', 'T'), ('N', 'T', 'N'), ('T', 'N', 'J'), ('N', 'J', 'R'), ('J', 'R', 'N'), ('R', 'N', 'L'), ('N', 'L', 'F'), ('L', 'F', 'N'), ('F', 'N', 'K'), ('N', 'K', 'N'), ('K', 'N', 'R'), ('N', 'R', 'N'), ('R', 'N', 'K'), ('N', 'K', 'K'), ('K', 'K', 'M'), ('K', 'M', 'T'), ('M', 'T', 'R'), ('T', 'R', 'L'), ('R', 'L', 'S'), ('L', 'S', 'S'), ('S', 'S', 'N'), ('S', 'N', 'S'), ('N', 'S', 'S')]"
the nattional medical journal of india,0NTNLMTKLJRNLFNT,TNTNLMTKLJRNLFNT,"[('0', 'N', 'T'), ('N', 'T', 'N'), ('T', 'N', 'L'), ('N', 'L', 'M'), ('L', 'M', 'T'), ('M', 'T', 'K'), ('T', 'K', 'L'), ('K', 'L', 'J'), ('L', 'J', 'R'), ('J', 'R', 'N'), ('R', 'N', 'L'), ('N', 'L', 'F'), ('L', 'F', 'N'), ('F', 'N', 'T')]","[('T', 'N', 'T'), ('N', 'T', 'N'), ('T', 'N', 'L'), ('N', 'L', 'M'), ('L', 'M', 'T'), ('M', 'T', 'K'), ('T', 'K', 'L'), ('K', 'L', 'J'), ('L', 'J', 'R'), ('J', 'R', 'N'), ('R', 'N', 'L'), ('N', 'L', 'F'), ('L', 'F', 'N'), ('F', 'N', 'T')]"
bulletin of n s of india for malaria & other m b d,PLTNFNSFNTFRMLR0RMPT,PLTNFNSFNTFRMLRTRMPT,"[('P', 'L', 'T'), ('L', 'T', 'N'), ('T', 'N', 'F'), ('N', 'F', 'N'), ('F', 'N', 'S'), ('N', 'S', 'F'), ('S', 'F', 'N'), ('F', 'N', 'T'), ('N', 'T', 'F'), ('T', 'F', 'R'), ('F', 'R', 'M'), ('R', 'M', 'L'), ('M', 'L', 'R'), ('L', 'R', '0'), ('R', '0', 'R'), ('0', 'R', 'M'), ('R', 'M', 'P'), ('M', 'P', 'T')]","[('P', 'L', 'T'), ('L', 'T', 'N'), ('T', 'N', 'F'), ('N', 'F', 'N'), ('F', 'N', 'S'), ('N', 'S', 'F'), ('S', 'F', 'N'), ('F', 'N', 'T'), ('N', 'T', 'F'), ('T', 'F', 'R'), ('F', 'R', 'M'), ('R', 'M', 'L'), ('M', 'L', 'R'), ('L', 'R', 'T'), ('R', 'T', 'R'), ('T', 'R', 'M'), ('R', 'M', 'P'), ('M', 'P', 'T')]"
"india: yesterday, today and tomorrow",ANTSTRTTTNTTMR,ANTSTRTTTNTTMRF,"[('A', 'N', 'T'), ('N', 'T', 'S'), ('T', 'S', 'T'), ('S', 'T', 'R'), ('T', 'R', 'T'), ('R', 'T', 'T'), ('T', 'T', 'T'), ('T', 'T', 'N'), ('T', 'N', 'T'), ('N', 'T', 'T'), ('T', 'T', 'M'), ('T', 'M', 'R')]","[('A', 'N', 'T'), ('N', 'T', 'S'), ('T', 'S', 'T'), ('S', 'T', 'R'), ('T', 'R', 'T'), ('R', 'T', 'T'), ('T', 'T', 'T'), ('T', 'T', 'N'), ('T', 'N', 'T'), ('N', 'T', 'T'), ('T', 'T', 'M'), ('T', 'M', 'R'), ('M', 'R', 'F')]"
entrepreneur india,ANTRPRNRNT,,"[('A', 'N', 'T'), ('N', 'T', 'R'), ('T', 'R', 'P'), ('R', 'P', 'R'), ('P', 'R', 'N'), ('R', 'N', 'R'), ('N', 'R', 'N'), ('R', 'N', 'T')]",[]
indian journal of computer science,ANTNJRNLFKMPTRSNS,,"[('A', 'N', 'T'), ('N', 'T', 'N'), ('T', 'N', 'J'), ('N', 'J', 'R'), ('J', 'R', 'N'), ('R', 'N', 'L'), ('N', 'L', 'F'), ('L', 'F', 'K'), ('F', 'K', 'M'), ('K', 'M', 'P'), ('M', 'P', 'T'), ('P', 'T', 'R'), ('T', 'R', 'S'), ('R', 'S', 'N'), ('S', 'N', 'S')]",[]
coca cola indian region newsletter,KKKLNTNRJNNSLTR,KKKLNTNRKNNSLTR,"[('K', 'K', 'K'), ('K', 'K', 'L'), ('K', 'L', 'N'), ('L', 'N', 'T'), ('N', 'T', 'N'), ('T', 'N', 'R'), ('N', 'R', 'J'), ('R', 'J', 'N'), ('J', 'N', 'N'), ('N', 'N', 'S'), ('N', 'S', 'L'), ('S', 'L', 'T'), ('L', 'T', 'R')]","[('K', 'K', 'K'), ('K', 'K', 'L'), ('K', 'L', 'N'), ('L', 'N', 'T'), ('N', 'T', 'N'), ('T', 'N', 'R'), ('N', 'R', 'K'), ('R', 'K', 'N'), ('K', 'N', 'N'), ('N', 'N', 'S'), ('N', 'S', 'L'), ('S', 'L', 'T'), ('L', 'T', 'R')]"
quintessence india,KNTSNSNT,,"[('K', 'N', 'T'), ('N', 'T', 'S'), ('T', 'S', 'N'), ('S', 'N', 'S'), ('N', 'S', 'N'), ('S', 'N', 'T')]",[]
indian journal of printing technology,ANTNJRNLFPRNTNKTKNLJ,ANTNJRNLFPRNTNKTKNLK,"[('A', 'N', 'T'), ('N', 'T', 'N'), ('T', 'N', 'J'), ('N', 'J', 'R'), ('J', 'R', 'N'), ('R', 'N', 'L'), ('N', 'L', 'F'), ('L', 'F', 'P'), ('F', 'P', 'R'), ('P', 'R', 'N'), ('R', 'N', 'T'), ('N', 'T', 'N'), ('T', 'N', 'K'), ('N', 'K', 'T'), ('K', 'T', 'K'), ('T', 'K', 'N'), ('K', 'N', 'L'), ('N', 'L', 'J')]","[('A', 'N', 'T'), ('N', 'T', 'N'), ('T', 'N', 'J'), ('N', 'J', 'R'), ('J', 'R', 'N'), ('R', 'N', 'L'), ('N', 'L', 'F'), ('L', 'F', 'P'), ('F', 'P', 'R'), ('P', 'R', 'N'), ('R', 'N', 'T'), ('N', 'T', 'N'), ('T', 'N', 'K'), ('N', 'K', 'T'), ('K', 'T', 'K'), ('T', 'K', 'N'), ('K', 'N', 'L'), ('N', 'L', 'K')]"
indian journal of radio and space physics,ANTNJRNLFRTNTSPSFSKS,,"[('A', 'N', 'T'), ('N', 'T', 'N'), ('T', 'N', 'J'), ('N', 'J', 'R'), ('J', 'R', 'N'), ('R', 'N', 'L'), ('N', 'L', 'F'), ('L', 'F', 'R'), ('F', 'R', 'T'), ('R', 'T', 'N'), ('T', 'N', 'T'), ('N', 'T', 'S'), ('T', 'S', 'P'), ('S', 'P', 'S'), ('P', 'S', 'F'), ('S', 'F', 'S'), ('F', 'S', 'K'), ('S', 'K', 'S')]",[]
inside india,ANSTNT,,"[('A', 'N', 'S'), ('N', 'S', 'T'), ('S', 'T', 'N'), ('T', 'N', 'T')]",[]
indian creative minds,ANTNKRTFMNTS,,"[('A', 'N', 'T'), ('N', 'T', 'N'), ('T', 'N', 'K'), ('N', 'K', 'R'), ('K', 'R', 'T'), ('R', 'T', 'F'), ('T', 'F', 'M'), ('F', 'M', 'N'), ('M', 'N', 'T'), ('N', 'T', 'S')]",[]
indian journal of dairy science,ANTNJRNLFTRSNS,,"[('A', 'N', 'T'), ('N', 'T', 'N'), ('T', 'N', 'J'), ('N', 'J', 'R'), ('J', 'R', 'N'), ('R', 'N', 'L'), ('N', 'L', 'F'), ('L', 'F', 'T'), ('F', 'T', 'R'), ('T', 'R', 'S'), ('R', 'S', 'N'), ('S', 'N', 'S')]",[]
indian journal of chemical technology,ANTNJRNLFXMKLTKNLJ,ANTNJRNLFKMKLTKNLK,"[('A', 'N', 'T'), ('N', 'T', 'N'), ('T', 'N', 'J'), ('N', 'J', 'R'), ('J', 'R', 'N'), ('R', 'N', 'L'), ('N', 'L', 'F'), ('L', 'F', 'X'), ('F', 'X', 'M'), ('X', 'M', 'K'), ('M', 'K', 'L'), ('K', 'L', 'T'), ('L', 'T', 'K'), ('T', 'K', 'N'), ('K', 'N', 'L'), ('N', 'L', 'J')]","[('A', 'N', 'T'), ('N', 'T', 'N'), ('T', 'N', 'J'), ('N', 'J', 'R'), ('J', 'R', 'N'), ('R', 'N', 'L'), ('N', 'L', 'F'), ('L', 'F', 'K'), ('F', 'K', 'M'), ('K', 'M', 'K'), ('M', 'K', 'L'), ('K', 'L', 'T'), ('L', 'T', 'K'), ('T', 'K', 'N'), ('K', 'N', 'L'), ('N', 'L', 'K')]"
holiday travel india,HLTTRFLNT,,"[('H', 'L', 'T'), ('L', 'T', 'T'), ('T', 'T', 'R'), ('T', 'R', 'F'), ('R', 'F', 'L'), ('F', 'L', 'N'), ('L', 'N', 'T')]",[]
diabetes india,TPTSNT,,"[('T', 'P', 'T'), ('P', 'T', 'S'), ('T', 'S', 'N'), ('S', 'N', 'T')]",[]
head line india,HTLNNT,,"[('H', 'T', 'L'), ('T', 'L', 'N'), ('L', 'N', 'N'), ('N', 'N', 'T')]",[]
indian medical & pharmaceutical today journal,ANTNMTKLLFRMSTKLTTJRNL,,"[('A', 'N', 'T'), ('N', 'T', 'N'), ('T', 'N', 'M'), ('N', 'M', 'T'), ('M', 'T', 'K'), ('T', 'K', 'L'), ('K', 'L', 'L'), ('L', 'L', 'F'), ('L', 'F', 'R'), ('F', 'R', 'M'), ('R', 'M', 'S'), ('M', 'S', 'T'), ('S', 'T', 'K'), ('T', 'K', 'L'), ('K', 'L', 'T'), ('L', 'T', 'T'), ('T', 'T', 'J'), ('T', 'J', 'R'), ('J', 'R', 'N'), ('R', 'N', 'L')]",[]
powertech india,PRTXNT,PRTKNT,"[('P', 'R', 'T'), ('R', 'T', 'X'), ('T', 'X', 'N'), ('X', 'N', 'T')]","[('P', 'R', 'T'), ('R', 'T', 'K'), ('T', 'K', 'N'), ('K', 'N', 'T')]"
vision india international,FSNNTNTRNXNL,FXNNTNTRNXNL,"[('F', 'S', 'N'), ('S', 'N', 'N'), ('N', 'N', 'T'), ('N', 'T', 'N'), ('T', 'N', 'T'), ('N', 'T', 'R'), ('T', 'R', 'N'), ('R', 'N', 'X'), ('N', 'X', 'N'), ('X', 'N', 'L')]","[('F', 'X', 'N'), ('X', 'N', 'N'), ('N', 'N', 'T'), ('N', 'T', 'N'), ('T', 'N', 'T'), ('N', 'T', 'R'), ('T', 'R', 'N'), ('R', 'N', 'X'), ('N', 'X', 'N'), ('X', 'N', 'L')]"
india foundation journal,ANTFNTXNJRNL,,"[('A', 'N', 'T'), ('N', 'T', 'F'), ('T', 'F', 'N'), ('F', 'N', 'T'), ('N', 'T', 'X'), ('T', 'X', 'N'), ('X', 'N', 'J'), ('N', 'J', 'R'), ('J', 'R', 'N'), ('R', 'N', 'L')]",[]
journal of indian medical specialities,JRNLFNTNMTKLSPSLTS,ARNLFNTNMTKLSPXLTS,"[('J', 'R', 'N'), ('R', 'N', 'L'), ('N', 'L', 'F'), ('L', 'F', 'N'), ('F', 'N', 'T'), ('N', 'T', 'N'), ('T', 'N', 'M'), ('N', 'M', 'T'), ('M', 'T', 'K'), ('T', 'K', 'L'), ('K', 'L', 'S'), ('L', 'S', 'P'), ('S', 'P', 'S'), ('P', 'S', 'L'), ('S', 'L', 'T'), ('L', 'T', 'S')]","[('A', 'R', 'N'), ('R', 'N', 'L'), ('N', 'L', 'F'), ('L', 'F', 'N'), ('F', 'N', 'T'), ('N', 'T', 'N'), ('T', 'N', 'M'), ('N', 'M', 'T'), ('M', 'T', 'K'), ('T', 'K', 'L'), ('K', 'L', 'S'), ('L', 'S', 'P'), ('S', 'P', 'X'), ('P', 'X', 'L'), ('X', 'L', 'T'), ('L', 'T', 'S')]"
journal of the anthropological survey of india,JRNLF0N0RPLJKLSRFFNT,ARNLFTNTRPLKKLSRFFNT,"[('J', 'R', 'N'), ('R', 'N', 'L'), ('N', 'L', 'F'), ('L', 'F', '0'), ('F', '0', 'N'), ('0', 'N', '0'), ('N', '0', 'R'), ('0', 'R', 'P'), ('R', 'P', 'L'), ('P', 'L', 'J'), ('L', 'J', 'K'), ('J', 'K', 'L'), ('K', 'L', 'S'), ('L', 'S', 'R'), ('S', 'R', 'F'), ('R', 'F', 'F'), ('F', 'F', 'N'), ('F', 'N', 'T')]","[('A', 'R', 'N'), ('R', 'N', 'L'), ('N', 'L', 'F'), ('L', 'F', 'T'), ('F', 'T', 'N'), ('T', 'N', 'T'), ('N', 'T', 'R'), ('T', 'R', 'P'), ('R', 'P', 'L'), ('P', 'L', 'K'), ('L', 'K', 'K'), ('K', 'K', 'L'), ('K', 'L', 'S'), ('L', 'S', 'R'), ('S', 'R', 'F'), ('R', 'F', 'F'), ('F', 'F', 'N'), ('F', 'N', 'T')]"
indian press service,ANTNPRSSRFS,,"[('A', 'N', 'T'), ('N', 'T', 'N'), ('T', 'N', 'P'), ('N', 'P', 'R'), ('P', 'R', 'S'), ('R', 'S', 'S'), ('S', 'S', 'R'), ('S', 'R', 'F'), ('R', 'F', 'S')]",[]
fact india news,FKTNTNS,,"[('F', 'K', 'T'), ('K', 'T', 'N'), ('T', 'N', 'T'), ('N', 'T', 'N'), ('T', 'N', 'S')]",[]
amrit india,AMRTNT,,"[('A', 'M', 'R'), ('M', 'R', 'T'), ('R', 'T', 'N'), ('T', 'N', 'T')]",[]
india abroad express,ANTPRTKSPRS,,"[('A', 'N', 'T'), ('N', 'T', 'P'), ('T', 'P', 'R'), ('P', 'R', 'T'), ('R', 'T', 'K'), ('T', 'K', 'S'), ('K', 'S', 'P'), ('S', 'P', 'R'), ('P', 'R', 'S')]",[]
indian prashasan,ANTNPRXSN,,"[('A', 'N', 'T'), ('N', 'T', 'N'), ('T', 'N', 'P'), ('N', 'P', 'R'), ('P', 'R', 'X'), ('R', 'X', 'S'), ('X', 'S', 'N')]",[]
the indian post,0NTNPST,TNTNPST,"[('0', 'N', 'T'), ('N', 'T', 'N'), ('T', 'N', 'P'), ('N', 'P', 'S'), ('P', 'S', 'T')]","[('T', 'N', 'T'), ('N', 'T', 'N'), ('T', 'N', 'P'), ('N', 'P', 'S'), ('P', 'S', 'T')]"
indian nature,ANTNNTR,,"[('A', 'N', 'T'), ('N', 'T', 'N'), ('T', 'N', 'N'), ('N', 'N', 'T'), ('N', 'T', 'R')]",[]
lead india,LTNT,,"[('L', 'T', 'N'), ('T', 'N', 'T')]",[]
east india news bulletin,ASTNTNSPLTN,,"[('A', 'S', 'T'), ('S', 'T', 'N'), ('T', 'N', 'T'), ('N', 'T', 'N'), ('T', 'N', 'S'), ('N', 'S', 'P'), ('S', 'P', 'L'), ('P', 'L', 'T'), ('L', 'T', 'N')]",[]
local news of india,LKLNSFNT,,"[('L', 'K', 'L'), ('K', 'L', 'N'), ('L', 'N', 'S'), ('N', 'S', 'F'), ('S', 'F', 'N'), ('F', 'N', 'T')]",[]
indian dispatch,ANTNTSPX,,"[('A', 'N', 'T'), ('N', 'T', 'N'), ('T', 'N', 'T'), ('N', 'T', 'S'), ('T', 'S', 'P'), ('S', 'P', 'X')]",[]
india king,ANTKNK,,"[('A', 'N', 'T'), ('N', 'T', 'K'), ('T', 'K', 'N'), ('K', 'N', 'K')]",[]
mature india,MTRNT,,"[('M', 'T', 'R'), ('T', 'R', 'N'), ('R', 'N', 'T')]",[]
n.c.r. india,NNKKRRNT,,"[('N', 'N', 'K'), ('N', 'K', 'K'), ('K', 'K', 'R'), ('K', 'R', 'R'), ('R', 'R', 'N'), ('R', 'N', 'T')]",[]
books from india,PKSFRMNT,,"[('P', 'K', 'S'), ('K', 'S', 'F'), ('S', 'F', 'R'), ('F', 'R', 'M'), ('R', 'M', 'N'), ('M', 'N', 'T')]",[]
the coin of india,0KNFNT,TKNFNT,"[('0', 'K', 'N'), ('K', 'N', 'F'), ('N', 'F', 'N'), ('F', 'N', 'T')]","[('T', 'K', 'N'), ('K', 'N', 'F'), ('N', 'F', 'N'), ('F', 'N', 'T')]"
sunshine india,SNXNNT,,"[('S', 'N', 'X'), ('N', 'X', 'N'), ('X', 'N', 'N'), ('N', 'N', 'T')]",[]
indian fact,ANTNFKT,,"[('A', 'N', 'T'), ('N', 'T', 'N'), ('T', 'N', 'F'), ('N', 'F', 'K'), ('F', 'K', 'T')]",[]
hemophilia federation india newsletter,HMFLFTRXNNTNSLTR,,"[('H', 'M', 'F'), ('M', 'F', 'L'), ('F', 'L', 'F'), ('L', 'F', 'T'), ('F', 'T', 'R'), ('T', 'R', 'X'), ('R', 'X', 'N'), ('X', 'N', 'N'), ('N', 'N', 'T'), ('N', 'T', 'N'), ('T', 'N', 'S'), ('N', 'S', 'L'), ('S', 'L', 'T'), ('L', 'T', 'R')]",[]
india darpan,ANTTRPN,,"[('A', 'N', 'T'), ('N', 'T', 'T'), ('T', 'T', 'R'), ('T', 'R', 'P'), ('R', 'P', 'N')]",[]
indian news and feature alliance (infa),ANTNNSNTFTRLNSSNF,,"[('A', 'N', 'T'), ('N', 'T', 'N'), ('T', 'N', 'N'), ('N', 'N', 'S'), ('N', 'S', 'N'), ('S', 'N', 'T'), ('N', 'T', 'F'), ('T', 'F', 'T'), ('F', 'T', 'R'), ('T', 'R', 'L'), ('R', 'L', 'N'), ('L', 'N', 'S'), ('N', 'S', 'S'), ('S', 'S', 'N'), ('S', 'N', 'F')]",[]
public talk of india,PPLKTLKFNT,,"[('P', 'P', 'L'), ('P', 'L', 'K'), ('L', 'K', 'T'), ('K', 'T', 'L'), ('T', 'L', 'K'), ('L', 'K', 'F'), ('K', 'F', 'N'), ('F', 'N', 'T')]",[]
india roundup,ANTRNTP,,"[('A', 'N', 'T'), ('N', 'T', 'R'), ('T', 'R', 'N'), ('R', 'N', 'T'), ('N', 'T', 'P')]",[]
action india,AKXNNT,,"[('A', 'K', 'X'), ('K', 'X', 'N'), ('X', 'N', 'N'), ('N', 'N', 'T')]",[]
akhil india,AKLNT,,"[('A', 'K', 'L'), ('K', 'L', 'N'), ('L', 'N', 'T')]",[]
east india,ASTNT,,"[('A', 'S', 'T'), ('S', 'T', 'N'), ('T', 'N', 'T')]",[]
india monitor,ANTMNTR,,"[('A', 'N', 'T'), ('N', 'T', 'M'), ('T', 'M', 'N'), ('M', 'N', 'T'), ('N', 'T', 'R')]",[]
news task india,NSTSKNT,,"[('N', 'S', 'T'), ('S', 'T', 'S'), ('T', 'S', 'K'), ('S', 'K', 'N'), ('K', 'N', 'T')]",[]
power of india,PRFNT,,"[('P', 'R', 'F'), ('R', 'F', 'N'), ('F', 'N', 'T')]",[]
khoji news india ankhon dekhi,KJNSNTNKNTK,,"[('K', 'J', 'N'), ('J', 'N', 'S'), ('N', 'S', 'N'), ('S', 'N', 'T'), ('N', 'T', 'N'), ('T', 'N', 'K'), ('N', 'K', 'N'), ('K', 'N', 'T'), ('N', 'T', 'K')]",[]
naveen india,NFNNT,,"[('N', 'F', 'N'), ('F', 'N', 'N'), ('N', 'N', 'T')]",[]
indian jung,ANTNJNK,,"[('A', 'N', 'T'), ('N', 'T', 'N'), ('T', 'N', 'J'), ('N', 'J', 'N'), ('J', 'N', 'K')]",[]
